Empresa,Numero,Trimestre,Ativo total,Lucro operacional,Depositos totais,M_Roa,M_Ets,DP_Roa,z_score,TAM,LIQ,SB  t,SB t-1,PQ_dummy,Roa,Ets,LN Depósitos,Patrimonio liquido,LN PL
ITA,11,20_3t,2110120000,-4984000,511015000,0.0078742027011,0.183991992692612,0.007989435877265,24.0149865824298,21.4700106548551,0.242173430894925,-0.051667757,-0.070702607,0,-0.002361950979091,0.06187278448619,20.0519095019446,130559000,18.687335789837
ITA,11,20_4t,2112586000,1984000,518016050,0.007080877818362,0.168701232745251,0.008179816701506,21.4897371149219,21.4711786264261,0.245204715926358,-0.040556199,-0.051667757,0,0.000939133365458,0.064656776102843,20.0655167842997,136593000,18.7325162592784
ITA,11,21_1t,2124817000,7916000,522779423,0.006920142499304,0.154553822031889,0.008229199112069,19.6220752872983,21.4769515179674,0.246035034075876,-0.075434352,-0.040556199,0,0.00372549730165,0.066061689077224,20.0746701797202,140369000,18.7597852274558
MER,12,12_4t,13515831,55057,2314210,0.003785770806623,0.071811342328828,0.006778597399596,11.1523238037356,16.4193722230388,0.171222176424076,-0.087323944,0,1,0.005370149074115,0.123524698589383,14.4275794531585,872125,13.6786880412415
MER,12,13_1t,13630247,28249,2216486,0.001905541155903,0.0700459681292,0.001685588182902,42.6862919513469,16.4278019252987,0.162615248278333,-0.022088353,-0.087323944,0,0.004795139833541,0.120351086398869,14.5407390846304,883944,13.6921489911969
MER,12,13_2t,13909325,-25551,2168704,0.00169018239511,0.068782221886697,0.001985439585216,35.4946102649292,16.4480700364821,0.155917271326969,0.011214953,-0.022088353,0,0.001342420222067,0.120332660600557,14.3685729190299,877978,13.6853768153557
MER,12,13_3t,13937857,-73223,2163386,0.001088514039224,0.067934194518788,0.002814838341727,24.5210204560652,16.4501192212063,0.155216544408513,-0.016456922,0.011214953,0,0.009587501396441,0.120668402394158,14.5311298388204,871735,13.6782407576219
MER,12,13_4t,13482574,-8990,2195993,0.00115089253535,0.067197559784841,0.002762107618176,24.7450359538621,16.4169085947748,0.16287639140716,-0.078516903,-0.016456922,0,0.003362156690443,0.115041342125153,14.6472550899831,900348,13.7105366342368
MER,12,14_1t,13635219,-58047,2195340,0.000801082555315,0.066164267711345,0.003165655982078,21.153704207209,16.428166635739,0.161005114769334,-0.085388994,-0.078516903,0,0.006433914815125,0.118876433208069,14.6547111523697,859131,13.6636766922494
MER,12,14_2t,13276585,-62070,2289274,8.66401648932331E-06,0.065321727542622,0.003253330054115,20.0810832200945,16.4015125153284,0.172429431212921,-0.00758214,-0.085388994,0,-0.002888323840633,0.116986210458488,14.4791068812511,804988,13.5985826494573
